,GeneSymbol,NMRK2,MYH7B,MAP3K20,MYL12A,RAB3A,SYNGR2,PPARGC1A,MYL2,PEX5L,PRG4,UAP1,CA14,CASQ2,CDH15,MYH8,MYH11,COQ10A,CHRND,CHAD,PLCE1,CHRNA1,FGF7,C9orf72,PPP1R1C,KLHL40,CNNM4,ACOT11,ATF3,IGFN1,HCN1,ANKRD2,AQP4,MYOZ2,MAB21L3,SAA1,CCR3,KLHL34,COL4A1,FZD9,MYL6B,CHRNG,DCTN1,COLQ,SMCO1,NTF4,MTND4P24,RPL10P9,MTND6P4,AC093809.1,CHCHD10
20,SRR13388759,1.47873,8.868378,16.035222,113.646175,2.24135,0.634209,41.413587,156.61989,10.512505,5.38416,48.265658,5.44647,8.28008,1.752078,3.55469,4.752348,28.3298374066,2.984499,0,8.6551032,9.791203,1.645028,6.800267,16.506141,1.43197,0.32723,25.792048,3.330224,5.15231,4.834259,1.01535,3.642148,12.8025,166.542,0,6.547239,0.428418,3.65056,0.0619204,17.388985,0.191043,18.110651,4.8547770108493,0,0.170339,6.79117,0.702297,7.02618,6.48257,1.69949
21,SRR13388736,0.116474,13.887668,124.941293,650.71471,0.20819,0.995089173,236.425422,662.811899,2.8064362,4.488779,12.618731,2.7967494,49.005,0.5734427,14.2172,17.2762795,63.822076,0.74169,0.370712,2.4088381241,22.228448,4.78648,14.98294544443,17.815868,2.74308,0,7.983418,0.3510326,0.221361,14.917653,2.833409,29.55902,294.298,59.2576,0,3.549462,0.834419,0,0,28.531588,0,2.20759557186,0.8911346,3.80773,1.28803,1.28805,0.538321,51.0515,216.906,13.8581
22,SRR13388745,3.852324196982,16.936577,109.491093,783.51603,0.0450238,5.832371,140.0485945531,645.57254,4.587631,1.9674875,11.831424,0.654254,46.769,0.624329,3.52618,14.2189522,88.136706,4.219433,0,3.893696,10.214925,1.435681,12.66940175,9.640207,5.61591,0,4.816438,0.305043,0.10831,12.791112,4.13226,28.585159,197.28,61.6461,0,2.2464039,1.26805,0,0,65.490334,0.142492,4.1339298,1.3196449,0.791584,0,3.78025,0.452059,117.213,0.719532,23.9731573
23,SRR13388763,1.156283,6.044647,22.20243291,73.706092,1.902796,0.608807,37.470366,205.980515,1.2044924,3.225554,33.992129,3.0874521,4.47207,1.2926589,1.29437,5.758256,21.776367,3.118555,0.265913,2.37455746942,3.6503736,0.6518821,3.264886,4.3326666,1.06513,2.0488793,8.209952,0.4144875,2.1949814,1.303163,2.697288373,1.075081,9.1122,56.317,0,3.667338,0.315511,0.8129144,0.0684026,15.27781,0.142683,10.2782551527962,2.2800258,0.298096,0.3149935,2.47377,0.561733,5.55071,2.02901,19.50487771421
24,SRR13388735,0.839959,5.033739,73.5677613,233.735829,0.577477,7.928167,109.59379340663,252.687706,0.4623724,1.118774,34.649352,0.56866,13.957305,0.7062094,0.319928,1.0443477,54.737961,0.500158662,0.274807,1.442969,2.8855369,0.157174,2.457999,2.416384,3.03526,3.079541,3.399591,1.219812,11.2026,1.5628975,4.45917,0.2286202,29.7033,22.4931,0,0.66483994,1.06457,0.121202,0.0207672,3.0925531,0,3.1314987262,0.6705,5.85677,2.128922,219.623,0.240289,2.01224,2.8264,45.044466
25,SRR13388768,2.167452,9.176702,142.301291,479.044794,0.3607644,4.1912925,97.673867,487.19867,0.376036,1.00870346,22.8428361,0.700746,64.154483,0.7734748,0.594992,6.6748726824884,86.1014877,0.13985021,0,1.10606,12.32690718636,0.3059572,3.656472,3.9255859,4.1558,2.62187,4.129753,0.4302602,1.69918,0.4834088,16.92922,7.144919,115.046,8.77971,0,0.361899,2.83791,0.0511748,0,16.017843,0,3.8259638,1.047429,3.08572,2.951914,0.877135,7.76043,2.08763,1.61835,25.121653
26,SRR13388733,2.092373,11.4095530057437,107.541309,706.936326,0.3065603,1.2232085,82.1050612,360.650468,0.6162141,1.1917673,42.65389,0.801824,53.973627,0.5364366,0.464065,6.6764055165034,69.3454878,0.1804777971,0,1.2129024,4.2712601,0.5317735,4.3066404127,3.259288,4.94124,0.0355539,3.7325727,1.9231403,2.97494,2.714401,5.18397,8.8101553,74.9856,11.542,0,0.9668512,1.50672,0.4578227,0.0550685,10.569719,0.0365559,4.2548821748147,1.2028844,3.96888,1.962202,1.13631,3.32083,2.45358,344.472,24.0274911
27,SRR13388761,2.5699535,12.56860586,132.0593121,1318.103686,1.16663,16.435614,70.0284191,986.652766,0.5959126,0.795657,39.959958,0.7021447,77.77363,1.236334,0.783723,1.0480317,81.158635,0.5157826,0,1.20753210019952,6.071705,0.5497308,2.811778,3.20504726,8.2331,0.503932,4.944326,1.60302,0.606185,2.733324,112.598018915,9.999541,110.388,12.1718,0,1.3461815,6.20585,0.5606015,0.0341006,41.798359,0.028613,5.9319062,1.5080784,5.6603,3.922191,240.668,0.388676,2.39131,1.30902,35.70014
28,SRR13388750,8.145766,14.61029104,40.185503,452.126524,0.3060574,3.4331555481845,73.6868056001464,825.761676,0.6082701,0.3621869,3.6623459,0.5535853,31.1212,0.3700142,0.186888,4.0699236,65.2105037,0.174715000398944,0.395838,0.7012333,3.7453343,0.129478,3.028797,3.560339,3.76489,0.474878,3.793676,0.1493311,4.83702,0.1261961,3.370806816,3.451982,43.8209,29.0315,0,0.2911189,1.79946,0.090631,0.0510874,12.757522,0,2.3275768,1.5712668,1.09816,1.304562,1.12371,17.8357,3.7223,1.33711,58.9058646
29,SRR13388772,2.01142,9.35426160025872,88.63743,531.539474,0.490352,4.948582,55.907134631822,977.731669,0.322839,0.3268335,3.83757200015041,0.230267,29.9507,0.5343528,0.194275,1.76158934,34.511374,0,0,1.1882166,6.3791097,0.189023,1.7982538,2.071941,3.57843,0.168472,1.431728,0.05589234,2.61433,0.4951647,8.64251,0.2992574,122.249,29.8594,0,1.3059493,1.44922,0.0592649,0,12.9887974,0.0551833,3.3121096,2.0169462,0.982685,0.750591,235.039,0.103433,7.92583,1.39652,33.018735
30,SRR13388751,3.452723,3.354823,28.5865755,205.128492,0.9009812175,4.21202953,48.7287798,206.684584,0.3894614,0.6808137,14.1795764,1.6856738,12.949,0.5219425,0.321737,1.9019576728,48.148187,0.0403706,0,0.7862235,1.9654302,0.1126669,1.6497061,1.390422,1.62959,0.2970919,3.5863508,0.8255392,1.2524428,0.8432578,4.50785,4.170174,22.4251,12.8767,0,0.3180747,0.583464,0.162095,0.0425516,9.8268699,0.028755,2.05992037187835,0.7562481,2.80095,0.610175,2.03594,2.97642,1.88837,1.42554,23.5305005
31,SRR13388747,2.677425,8.62895725,40.986103,237.713822,0.4886336,5.3911288,31.101967,591.006647,0.5591674,0.8481061131673,12.3994709,0.7091643,25.420654,0.1902285,0.293082,2.6322956,41.831768,0.3701898,0,0.4723336,1.8508781,0.0935528,1.23264540696525,2.1242066,3.53281,0.5288227,3.219818,1.1416135,2.392855,0.598056,7.60502,3.8529409,34.4104,8.2408,0,0.3569754,1.0047,0.289924,0.0726062,48.925933,0.1318246,2.6767446,0.970076,0.895716,2.0214124,1.07775,2.42537,1.16361,0.836141,29.34143
32,SRR13388742,4.37800999,10.51620165,136.0304346,644.190556,0.456585,5.7594433,68.69523063,562.369213,0.17293,0.437627,31.661937,0.362422,22.616205,0.7364192,0.60438,2.15006866,93.1200615,0.2137758,0.328375,0.8036655,1.11373110122229,0.2888702,2.538383,1.897944,3.22967,0.537245,2.446096,0.105852,8.93372,3.636156,5.36865,18.1824689,81.5276,3.71862,0,0.5985391,1.34052,0.17076,0.0214195,33.3321876,0,3.8920654,1.9085914,4.19841,3.609723,97.3505,0.122912,2.18535,2.01821,41.550604
33,SRR13388769,7.698103,10.9662047,98.004754,414.020788,0.890103677,9.988338,66.3777799,1405.84201,0.154478,1.4785238,12.9911478,0.301325753199,42.4527,0.7820451,1.01133,3.34647837,58.843279,0.4734201,0,0.776399,4.73321675152239,0.2601885,2.0564010317261,2.9910367,6.04894,3.124428,2.3050172,0.2911224,2.07007,2.9146778,10.3673260004156,5.1863378,96.6548,1.94209,0,0.1634492,2.36594,0.173695,0,35.9999280662967,0,3.0107005,0.21387,4.60704,3.15788,1.09869,0.406978,0.93006,0.214605,28.304461
34,SRR13388739,2.58413,16.44714516135,103.422667,366.720153,0.369156,4.1112090136596,91.5501474,694.55489,0.237064,0.5616022,8.576583,0.4898,46.094334,0.6265885,1.74369,1.35515107,80.642522,0.260926,0,1.379841,5.4949868,0.363006,3.1148096,3.0726215,6.64534,0.985527,5.358836,0.183808,0.801858,8.559165,5.54074,2.822547,68.5225,12.5562,0,0.5231276,1.04942,0.533205,0.010627,21.4759119,0.0321773,3.5488529,2.747701,2.46282,2.6948234,0.366054,0.741516,4.39849,1.55758,31.787063
35,SRR13388784,3.721642,12.28924,113.4041843,428.836147,1.24967,12.157006,63.4437042,872.22804,0.1747208,0.0713738,20.1839395,0.642798,32.097896,0.9552643,6.70311,1.8165328017,97.176388,0.5487435,0.155063,1.412204,2.5861954703651,0.0404622,2.6311219,1.915331,3.01071,3.475187,1.85436,0.5186707,0.146306,6.5553454,6.643938,8.881326,38.7301,2.44925,0,0.7487947,1.53256,0.479273,0.0355702,41.425045,0,4.547457904,0.6020411,2.54856,4.59433,116.693,41.4615,1.26371,0.930983,49.057474
36,SRR13388767,0.704351,5.871206,90.41747,321.383527,0.692369,3.3695491,90.562772,371.679798,0.5441072,0.6853735,29.8134943,0.4374145,30.340765,0.4341857,0.494203,8.8743521,47.8474479,0.4165631,0.202639,1.254946,4.942398,0.2480837,2.4377911,3.2219709,1.26606,0.9955476,3.120041,0.3673195,1.03707,2.785746,3.12706,10.058779,73.9513,19.5821,0.0376685,0.8380558,1.15953,0.1393911,0.0372422,6.9548968,0.0346195,3.0132354,2.4559299,2.69865,2.2372175,2.07263,1.39805,1.7988,1.94948,20.1583281
37,SRR13388764,1.008134,16.164412,177.951456,378.091283,0.4732483,4.24346605813,64.6089049,382.292955,0.85516612,0.391895941311,21.5272884,1.242365,40.66934,1.363228,2.38426,4.56267183323967,88.1287101,1.0158307,0.137003,3.002692,5.542828,0.2866227,7.7707827,5.5333571,9.07177,0.800167,4.4394916,1.114405,2.53187,10.949549,7.34622,3.152978,34.7634,24.3021,0,0.335233,2.45538,0.282265,0.0512682,47.60284,0,8.049817,4.797905,1.55512,3.1938896,128.58,0.297322,5.22054,1.45686,37.6117148
38,SRR13388732,3.08431,4.845914,32.876274,131.941121,0.100861,0.9628114,17.68831785,140.229607,3.213431,1.00492,21.515589,1.2434982,9.43244,0.7001021,1.15081,1.6052917,25.8019718,0.3470279,0.176037,1.553441,2.747369,1.1111017,3.588604,7.952401,1.43608,0.590158,8.672543,0.2378137,3.35318,14.53211,0.571047,2.82326,11.9316,309.19,0,1.477015,0.621391,0.150943,0.0256604,9.3588274,0,2.78629280156751,0.3872575,0.240379,0.741195,413.353,1.74226,8.73404,5.77583,6.11295
39,SRR13388753,5.045657,16.024355,79.0376078,432.907992,1.017475,32.40438,84.8952170102753,1185.75454,0.701634,0.6559855,36.4962243,0.782092,27.02218,1.547415,1.50138,0.6315477,62.55767,1.0228246,0.0562069,1.216031,7.63334494654,0.0711726,4.0531749,3.7205742,5.33957,3.79285,3.9263482,3.63529900354008,0.350279,2.291179,45.03082,9.8418496,42.4528,5.7444,0.661576,0.7924485,1.33723,0.263835,0.116493,25.6676246,0.376471,11.176573674,2.5951036,3.97407,3.113391,72.1487,33.2095,2.19787,1.64645,44.664055
40,SRR13388781,4.511733,27.751686,296.848129,988.513318,1.0388425,6.10473097478,77.8151,1324.56993,1.78190874,3.44937200755795,66.6232369,1.419211,92.27061,2.3001123,4.41717,7.3944267,107.111835,0.3498938,1.00022,4.156209,16.6879600025785,0.4961412,6.3693581,7.634613,8.30712,2.0680965,9.169777,0.5450351,1.34271,17.187505,28.1038500011193,18.043243,158.468,26.9648,0,1.692543,2.71038,2.6868367,0,38.1170389,0.120679,8.15678167281375,2.5188217,4.43246,6.172495,0.866887,0.311208,2.79489,1.34483,19.7693827
41,SRR13388738,3.00077396522,9.658564,67.454859,268.99606,0.1531817,3.2063516,103.396183220306,296.756024,1.5390942,11.6816618791,22.946275,1.343454,23.537214,0.9869969,1.81704,8.8402698,57.968974,0.114363,0,2.2492008,4.2852923,0.5445665,4.44217917188,5.413194,28.9321,0.912179,4.630256,0.588352,6.90573,4.811877,3.409534,0.268485,65.7837,284.221,0,2.1257367,0.759035,0,0.00826548,30.47278,0,6.704637,1.129811,0.587666,1.789375,3.37208,0.200169,7.57956,1.12493,36.4811106
42,SRR13388765,2.141973,10.662522,52.2490997,392.75664,0.422916,5.495592,72.13742795,661.228945,0.18797148,0.39941099,15.168917,0.6136676,40.131232,0.4284223,0.525783,5.1485897868,66.2257286,0.3414059,0,1.0877871,5.5171444,0.035439171,2.0587501629,3.4423231,3.43541,1.5000711,2.682262,1.0507761,4.88157566,0.6326994,3.87412204207,10.2442232,84.8036,5.10216,0,2.336604,2.01282,0.0489601,0.0277666,48.356299,0,2.5802677,1.0645105,2.16527,2.313821,0.629681,8.04978,1.22123,1.01743,24.2488835
43,SRR13388771,1.1713,3.121403,75.374414,164.30768,0.283379,2.7371071,54.929706,112.8822,0.262373,1.703426,5.551255,0.5487712,14.655882,0.72179,2.00448,7.0671616,46.724587,0,0.313377,0.7337021,1.5114784,0.2834922,2.2938562,2.1714976,1.90293,0.469943,1.6735253,0.2111289,0.241777,6.256267,1.468033,11.278078,34.5793,4.43132,0,0.4919052,0.846479,0.0522933,0,5.1391263,0,1.910961157,0.1816431,1.16892,1.6061333,1.42765,1.74936,2.19487,1.10701,28.139005
44,SRR13388755,11.21129,4.012503,45.294701,233.1775679,0.271469,11.313302,58.202462,486.635555,0.809441,2.61842876489172,3.2960445,0.561333,17.698691,0.452754,2.26134,1.35290302,40.62273989597,0.1119024,0,0.3551081,4.0073342,0.2152758,1.4308062,2.5933662,4.15092,1.2457716,1.452534,0.0851067,0.578733,4.250946,8.50352213273,2.482056,35.9396,117.137,0,0.2410015,1.0057,0.556602,0.0601743,27.081378,0,4.1392526,0.6298095,2.13111,0.780382,0.92194,0.0416661,2.65343,2.87989,39.3846365
45,SRR13388748,3.215801,12.173331,57.7215621,290.30444,0.5306026,4.4954351,61.5878841,511.90225,1.0827757,2.23885,10.8509377,0.346935,36.4152,0.6403046,2.45818,7.5906666,36.066428,0.4010008,0,1.1505769717,6.073416,0.955701,3.460357,3.886157,3.1607,0.589707,3.7359,0.3190038,1.21247,6.8597807,1.724843,4.097493,75.9376,230.91,0,0.5306109,1.66125,0.0746895,0.0294553,19.8004449,0,3.2703374,1.2336625,3.03177,0.729266,2.10637,0.489562,4.02765,0.411164,26.1742676
46,SRR13388783,2.489389,10.3018822,37.187213,230.120533,0.338021,7.129706,33.93829604,517.613781,1.0391181,1.4155275656,3.341879,0.662387,19.94956,1.0209835,1.40611,3.4470887,29.281785,0.5374147,0.588728,1.32079844,5.50031,0.7434093,2.370733,2.8122655,4.67358,1.007239,4.547847,0.1300918,0.899458,7.447567,15.4643500136547,5.065901,89.7881,204.888,0.193718,1.2743575,0.446881,0.0505138,0.00986775,25.627583,0.4006053,4.68052750366522,1.5400165,0.592879,1.05868,1.30235,0.407844,3.99775,1.65292,19.8275861
